home_team,away_team,home_goals,away_goals,result,season
Wolverhampton Wanderers,Birmingham City,0,1,2,3
Everton,Liverpool,0,2,2,3
Arsenal,Chelsea,0,3,2,3
Portsmouth,Burnley,2,0,1,3
Arsenal,Stoke City,2,0,1,3
Aston Villa,Hull City,3,0,1,3
Blackburn Rovers,Liverpool,0,0,0,3
West Ham United,Manchester United,0,4,2,3
Wigan Athletic,Birmingham City,2,3,2,3
Wolverhampton Wanderers,Bolton Wanderers,2,1,1,3
Manchester City,Chelsea,2,1,1,3
Fulham,Sunderland,1,0,1,3
Everton,Tottenham Hotspur,2,2,0,3
Stoke City,Wigan Athletic,2,2,0,3
Birmingham City,West Ham United,1,0,1,3
Bolton Wanderers,Manchester City,3,3,0,3
Burnley,Fulham,1,1,0,3
Chelsea,Everton,3,3,0,3
Hull City,Blackburn Rovers,0,0,0,3
Sunderland,Portsmouth,1,1,0,3
Tottenham Hotspur,Wolverhampton Wanderers,0,1,2,3
Manchester United,Aston Villa,0,1,2,3
Liverpool,Arsenal,1,2,2,3
Sunderland,Aston Villa,0,2,2,3
Birmingham City,Blackburn Rovers,2,1,1,3
Bolton Wanderers,West Ham United,3,1,1,3
Manchester United,Wolverhampton Wanderers,3,0,1,3
Burnley,Arsenal,1,1,0,3
Chelsea,Portsmouth,2,1,1,3
Liverpool,Wigan Athletic,2,1,1,3
Tottenham Hotspur,Manchester City,3,0,1,3
Portsmouth,Liverpool,2,0,1,3
Aston Villa,Stoke City,1,0,1,3
Blackburn Rovers,Tottenham Hotspur,0,2,2,3
Fulham,Manchester United,3,0,1,3
Manchester City,Sunderland,4,3,1,3
Arsenal,Hull City,3,0,1,3
Wolverhampton Wanderers,Burnley,2,0,1,3
Everton,Birmingham City,1,1,0,3
West Ham United,Chelsea,1,1,0,3
Birmingham City,Chelsea,0,0,0,3
Fulham,Tottenham Hotspur,0,0,0,3
West Ham United,Portsmouth,2,0,1,3
Burnley,Bolton Wanderers,1,1,0,3
Manchester City,Stoke City,2,0,1,3
Sunderland,Everton,1,1,0,3
Wigan Athletic,Blackburn Rovers,1,1,0,3
Liverpool,Wolverhampton Wanderers,2,0,1,3
Arsenal,Aston Villa,3,0,1,3
Hull City,Manchester United,1,3,2,3
Tottenham Hotspur,West Ham United,2,0,1,3
Blackburn Rovers,Sunderland,2,2,0,3
Chelsea,Fulham,2,1,1,3
Everton,Burnley,2,0,1,3
Stoke City,Birmingham City,0,1,2,3
Wolverhampton Wanderers,Manchester City,0,3,2,3
Aston Villa,Liverpool,0,1,2,3
Bolton Wanderers,Hull City,2,2,0,3
Portsmouth,Arsenal,1,4,2,3
Manchester United,Wigan Athletic,5,0,1,3
Stoke City,Fulham,3,2,1,3
Arsenal,Everton,2,2,0,3
Birmingham City,Manchester United,1,1,0,3
Manchester City,Blackburn Rovers,4,1,1,3
Stoke City,Liverpool,1,1,0,3
Chelsea,Sunderland,7,2,1,3
Manchester United,Burnley,3,0,1,3
Tottenham Hotspur,Hull City,0,0,0,3
Wolverhampton Wanderers,Wigan Athletic,0,2,2,3
Everton,Manchester City,2,0,1,3
Aston Villa,West Ham United,0,0,0,3
Blackburn Rovers,Fulham,2,0,1,3
Bolton Wanderers,Arsenal,0,2,2,3
Arsenal,Bolton Wanderers,4,2,1,3
Liverpool,Tottenham Hotspur,2,0,1,3
Manchester United,Hull City,4,0,1,3
Portsmouth,West Ham United,1,1,0,3
Wolverhampton Wanderers,Liverpool,0,0,0,3
Bolton Wanderers,Burnley,1,0,1,3
Tottenham Hotspur,Fulham,2,0,1,3
Aston Villa,Arsenal,0,0,0,3
Chelsea,Birmingham City,3,0,1,3
Blackburn Rovers,Wigan Athletic,2,1,1,3
Everton,Sunderland,2,0,1,3
Birmingham City,Tottenham Hotspur,1,1,0,3
Fulham,Aston Villa,0,2,2,3
Hull City,Wolverhampton Wanderers,2,2,0,3
Liverpool,Bolton Wanderers,2,0,1,3
West Ham United,Blackburn Rovers,0,0,0,3
Wigan Athletic,Everton,0,1,2,3
Burnley,Chelsea,1,2,2,3
Manchester City,Portsmouth,2,0,1,3
Arsenal,Manchester United,1,3,2,3
Sunderland,Stoke City,0,0,0,3
Hull City,Chelsea,1,1,0,3
Fulham,Portsmouth,1,0,1,3
Liverpool,Everton,1,0,1,3
Bolton Wanderers,Fulham,0,0,0,3
Burnley,West Ham United,2,1,1,3
Hull City,Manchester City,2,1,1,3
Manchester United,Portsmouth,5,0,1,3
Stoke City,Blackburn Rovers,3,0,1,3
Sunderland,Wigan Athletic,1,1,0,3
Tottenham Hotspur,Aston Villa,0,0,0,3
Birmingham City,Wolverhampton Wanderers,2,1,1,3
Chelsea,Arsenal,2,0,1,3
Manchester City,Bolton Wanderers,2,0,1,3
Portsmouth,Sunderland,1,1,0,3
Wigan Athletic,Stoke City,1,1,0,3
Fulham,Burnley,3,0,1,3
Arsenal,Liverpool,1,0,1,3
Aston Villa,Manchester United,1,1,0,3
West Ham United,Birmingham City,2,0,1,3
Wolverhampton Wanderers,Tottenham Hotspur,1,0,1,3
Blackburn Rovers,Hull City,1,0,1,3
Everton,Chelsea,2,1,1,3
Stoke City,Manchester City,1,1,0,3
Wigan Athletic,Bolton Wanderers,0,0,0,3
Everton,Manchester United,3,1,1,3
Arsenal,Sunderland,2,0,1,3
West Ham United,Hull City,3,0,1,3
Wolverhampton Wanderers,Chelsea,0,2,2,3
Portsmouth,Stoke City,1,2,2,3
Blackburn Rovers,Bolton Wanderers,3,0,1,3
Aston Villa,Burnley,5,2,1,3
Fulham,Birmingham City,2,1,1,3
Manchester City,Liverpool,0,0,0,3
Wigan Athletic,Tottenham Hotspur,0,3,2,3
Manchester United,West Ham United,3,0,1,3
Chelsea,Manchester City,2,4,2,3
Birmingham City,Wigan Athletic,1,0,1,3
Bolton Wanderers,Wolverhampton Wanderers,1,0,1,3
Burnley,Portsmouth,1,2,2,3
Stoke City,Arsenal,1,3,2,3
Tottenham Hotspur,Everton,2,1,1,3
Liverpool,Blackburn Rovers,2,1,1,3
Sunderland,Fulham,0,0,0,3
Arsenal,Burnley,3,1,1,3
West Ham United,Bolton Wanderers,1,2,2,3
Wolverhampton Wanderers,Manchester United,0,1,2,3
Everton,Hull City,5,1,1,3
Wigan Athletic,Liverpool,1,0,1,3
Portsmouth,Birmingham City,1,2,2,3
Sunderland,Bolton Wanderers,4,0,1,3
Burnley,Stoke City,1,1,0,3
Tottenham Hotspur,Blackburn Rovers,3,1,1,3
Birmingham City,Everton,2,2,0,3
Bolton Wanderers,Wigan Athletic,4,0,1,3
Burnley,Wolverhampton Wanderers,1,2,2,3
Chelsea,West Ham United,4,1,1,3
Stoke City,Aston Villa,0,0,0,3
Hull City,Arsenal,1,2,2,3
Manchester United,Fulham,3,0,1,3
Sunderland,Manchester City,1,1,0,3
Liverpool,Portsmouth,4,1,1,3
Wigan Athletic,Aston Villa,1,2,2,3
Aston Villa,Wolverhampton Wanderers,2,2,0,3
Everton,Bolton Wanderers,2,0,1,3
Portsmouth,Hull City,3,2,1,3
Stoke City,Tottenham Hotspur,1,2,2,3
Sunderland,Birmingham City,3,1,1,3
Wigan Athletic,Burnley,1,0,1,3
Arsenal,West Ham United,2,0,1,3
Manchester United,Liverpool,2,1,1,3
Fulham,Manchester City,1,2,2,3
Blackburn Rovers,Chelsea,1,1,0,3
West Ham United,Wolverhampton Wanderers,1,3,2,3
Aston Villa,Sunderland,1,1,0,3
Manchester City,Everton,0,2,2,3
Portsmouth,Chelsea,0,5,2,3
Blackburn Rovers,Birmingham City,2,1,1,3
Birmingham City,Arsenal,1,1,0,3
Chelsea,Aston Villa,7,1,1,3
Hull City,Fulham,2,0,1,3
Tottenham Hotspur,Portsmouth,2,0,1,3
West Ham United,Stoke City,0,1,2,3
Wolverhampton Wanderers,Everton,0,0,0,3
Bolton Wanderers,Manchester United,0,4,2,3
Burnley,Blackburn Rovers,0,1,2,3
Liverpool,Sunderland,3,0,1,3
Manchester City,Wigan Athletic,3,0,1,3
Manchester United,Chelsea,1,2,2,3
Arsenal,Wolverhampton Wanderers,1,0,1,3
Bolton Wanderers,Aston Villa,0,1,2,3
Portsmouth,Blackburn Rovers,0,0,0,3
Stoke City,Hull City,2,0,1,3
Sunderland,Tottenham Hotspur,3,1,1,3
Burnley,Manchester City,1,6,2,3
Birmingham City,Liverpool,1,1,0,3
Fulham,Wigan Athletic,2,1,1,3
Everton,West Ham United,2,2,0,3
Hull City,Burnley,1,4,2,3
West Ham United,Sunderland,1,0,1,3
Wolverhampton Wanderers,Stoke City,0,0,0,3
Blackburn Rovers,Manchester United,0,0,0,3
Liverpool,Fulham,0,0,0,3
Manchester City,Birmingham City,5,1,1,3
Chelsea,Bolton Wanderers,1,0,1,3
Aston Villa,Everton,2,2,0,3
Wigan Athletic,Portsmouth,0,0,0,3
Tottenham Hotspur,Arsenal,2,1,1,3
Manchester City,Manchester United,0,1,2,3
Birmingham City,Hull City,0,0,0,3
Blackburn Rovers,Everton,2,3,2,3
Fulham,Wolverhampton Wanderers,0,0,0,3
Stoke City,Bolton Wanderers,1,2,2,3
Sunderland,Burnley,2,1,1,3
Tottenham Hotspur,Chelsea,2,1,1,3
Wigan Athletic,Arsenal,3,2,1,3
Portsmouth,Aston Villa,1,2,2,3
Liverpool,West Ham United,3,0,1,3
Hull City,Aston Villa,0,2,2,3
Manchester United,Tottenham Hotspur,3,1,1,3
Bolton Wanderers,Portsmouth,2,2,0,3
Hull City,Sunderland,0,1,2,3
West Ham United,Wigan Athletic,3,2,1,3
Wolverhampton Wanderers,Blackburn Rovers,1,1,0,3
Arsenal,Manchester City,0,0,0,3
Aston Villa,Birmingham City,1,0,1,3
Burnley,Liverpool,0,4,2,3
Everton,Fulham,2,1,1,3
Chelsea,Stoke City,7,0,1,3
Birmingham City,Burnley,2,1,1,3
Manchester City,Aston Villa,3,1,1,3
Portsmouth,Wolverhampton Wanderers,3,1,1,3
Stoke City,Everton,0,0,0,3
Tottenham Hotspur,Bolton Wanderers,1,0,1,3
Liverpool,Chelsea,0,2,2,3
Fulham,West Ham United,3,2,1,3
Sunderland,Manchester United,0,1,2,3
Wigan Athletic,Hull City,2,2,0,3
Blackburn Rovers,Arsenal,2,1,1,3
Fulham,Stoke City,0,1,2,3
Manchester City,Tottenham Hotspur,0,1,2,3
Arsenal,Fulham,4,0,1,3
Aston Villa,Blackburn Rovers,0,1,2,3
Bolton Wanderers,Birmingham City,2,1,1,3
Burnley,Tottenham Hotspur,4,2,1,3
Chelsea,Wigan Athletic,8,0,1,3
Everton,Portsmouth,1,0,1,3
Hull City,Liverpool,0,0,0,3
Manchester United,Stoke City,4,0,1,3
West Ham United,Manchester City,1,1,0,3
Wolverhampton Wanderers,Sunderland,2,1,1,3
Tottenham Hotspur,Manchester City,0,0,0,4
Aston Villa,West Ham United,3,0,1,4
Blackburn Rovers,Everton,1,0,1,4
Bolton Wanderers,Fulham,0,0,0,4
Sunderland,Birmingham City,2,2,0,4
Wigan Athletic,Blackpool,0,4,2,4
Wolverhampton Wanderers,Stoke City,2,1,1,4
Chelsea,West Bromwich Albion,6,0,1,4
Liverpool,Arsenal,1,1,0,4
Manchester United,Newcastle United,3,0,1,4
Arsenal,Blackpool,6,0,1,4
Birmingham City,Blackburn Rovers,2,1,1,4
Everton,Wolverhampton Wanderers,1,1,0,4
Stoke City,Tottenham Hotspur,1,2,2,4
West Bromwich Albion,Sunderland,1,0,1,4
West Ham United,Bolton Wanderers,1,3,2,4
Wigan Athletic,Chelsea,0,6,2,4
Newcastle United,Aston Villa,6,0,1,4
Fulham,Manchester United,2,2,0,4
Manchester City,Liverpool,3,0,1,4
Blackburn Rovers,Arsenal,1,2,2,4
Blackpool,Fulham,2,2,0,4
Chelsea,Stoke City,2,0,1,4
Tottenham Hotspur,Wigan Athletic,0,1,2,4
Wolverhampton Wanderers,Newcastle United,1,1,0,4
Manchester United,West Ham United,3,0,1,4
Bolton Wanderers,Birmingham City,2,2,0,4
Liverpool,West Bromwich Albion,1,0,1,4
Sunderland,Manchester City,1,0,1,4
Aston Villa,Everton,1,0,1,4
Everton,Manchester United,3,3,0,4
Arsenal,Bolton Wanderers,4,1,1,4
Fulham,Wolverhampton Wanderers,2,1,1,4
Manchester City,Blackburn Rovers,1,1,0,4
Newcastle United,Blackpool,0,2,2,4
West Bromwich Albion,Tottenham Hotspur,1,1,0,4
West Ham United,Chelsea,1,3,2,4
Wigan Athletic,Sunderland,1,1,0,4
Birmingham City,Liverpool,0,0,0,4
Stoke City,Aston Villa,2,1,1,4
Stoke City,West Ham United,1,1,0,4
Aston Villa,Bolton Wanderers,1,1,0,4
Blackburn Rovers,Fulham,1,1,0,4
Everton,Newcastle United,0,1,2,4
Tottenham Hotspur,Wolverhampton Wanderers,3,1,1,4
West Bromwich Albion,Birmingham City,3,1,1,4
Sunderland,Arsenal,1,1,0,4
Manchester United,Liverpool,3,2,1,4
Wigan Athletic,Manchester City,0,2,2,4
Chelsea,Blackpool,4,0,1,4
Manchester City,Chelsea,1,0,1,4
Arsenal,West Bromwich Albion,2,3,2,4
Birmingham City,Wigan Athletic,0,0,0,4
Blackpool,Blackburn Rovers,1,2,2,4
Fulham,Everton,0,0,0,4
Liverpool,Sunderland,2,2,0,4
West Ham United,Tottenham Hotspur,1,0,1,4
Bolton Wanderers,Manchester United,2,2,0,4
Wolverhampton Wanderers,Aston Villa,1,2,2,4
Newcastle United,Stoke City,1,2,2,4
Wigan Athletic,Wolverhampton Wanderers,2,0,1,4
Birmingham City,Everton,0,2,2,4
Stoke City,Blackburn Rovers,1,0,1,4
Sunderland,Manchester United,0,0,0,4
Tottenham Hotspur,Aston Villa,2,1,1,4
West Bromwich Albion,Bolton Wanderers,1,1,0,4
West Ham United,Fulham,1,1,0,4
Manchester City,Newcastle United,2,1,1,4
Liverpool,Blackpool,1,2,2,4
Chelsea,Arsenal,2,0,1,4
Arsenal,Birmingham City,2,1,1,4
Bolton Wanderers,Stoke City,2,1,1,4
Fulham,Tottenham Hotspur,1,2,2,4
Manchester United,West Bromwich Albion,2,2,0,4
Newcastle United,Wigan Athletic,2,2,0,4
Wolverhampton Wanderers,West Ham United,1,1,0,4
Aston Villa,Chelsea,0,0,0,4
Everton,Liverpool,2,0,1,4
Blackpool,Manchester City,2,3,2,4
Blackburn Rovers,Sunderland,0,0,0,4
Tottenham Hotspur,Everton,1,1,0,4
Birmingham City,Blackpool,2,0,1,4
Chelsea,Wolverhampton Wanderers,2,0,1,4
Sunderland,Aston Villa,1,0,1,4
West Bromwich Albion,Fulham,2,1,1,4
Wigan Athletic,Bolton Wanderers,1,1,0,4
West Ham United,Newcastle United,1,2,2,4
Stoke City,Manchester United,1,2,2,4
Liverpool,Blackburn Rovers,2,1,1,4
Manchester City,Arsenal,0,3,2,4
Arsenal,West Ham United,1,0,1,4
Blackburn Rovers,Chelsea,1,2,2,4
Everton,Stoke City,1,0,1,4
Fulham,Wigan Athletic,2,0,1,4
Wolverhampton Wanderers,Manchester City,2,1,1,4
Manchester United,Tottenham Hotspur,2,0,1,4
Aston Villa,Birmingham City,0,0,0,4
Newcastle United,Sunderland,5,1,1,4
Bolton Wanderers,Liverpool,0,1,2,4
Blackpool,West Bromwich Albion,2,1,1,4
Bolton Wanderers,Tottenham Hotspur,4,2,1,4
Birmingham City,West Ham United,2,2,0,4
Blackburn Rovers,Wigan Athletic,2,1,1,4
Blackpool,Everton,2,2,0,4
Fulham,Aston Villa,1,1,0,4
Manchester United,Wolverhampton Wanderers,2,1,1,4
Sunderland,Stoke City,2,0,1,4
Arsenal,Newcastle United,0,1,2,4
West Bromwich Albion,Manchester City,0,2,2,4
Liverpool,Chelsea,2,0,1,4
Stoke City,Birmingham City,3,2,1,4
Tottenham Hotspur,Sunderland,1,1,0,4
Aston Villa,Blackpool,3,2,1,4
Chelsea,Fulham,1,0,1,4
Newcastle United,Blackburn Rovers,1,2,2,4
West Ham United,West Bromwich Albion,2,2,0,4
Wigan Athletic,Liverpool,1,1,0,4
Wolverhampton Wanderers,Arsenal,0,2,2,4
Everton,Bolton Wanderers,1,1,0,4
Manchester City,Manchester United,0,0,0,4
Aston Villa,Manchester United,2,2,0,4
Manchester City,Birmingham City,0,0,0,4
Newcastle United,Fulham,0,0,0,4
Tottenham Hotspur,Blackburn Rovers,4,2,1,4
West Ham United,Blackpool,0,0,0,4
Wigan Athletic,West Bromwich Albion,1,0,1,4
Wolverhampton Wanderers,Bolton Wanderers,2,3,2,4
Stoke City,Liverpool,2,0,1,4
Everton,Arsenal,1,2,2,4
Chelsea,Sunderland,0,3,2,4
Arsenal,Tottenham Hotspur,2,3,2,4
Birmingham City,Chelsea,1,0,1,4
Blackpool,Wolverhampton Wanderers,2,1,1,4
Bolton Wanderers,Newcastle United,5,1,1,4
Manchester United,Wigan Athletic,2,0,1,4
West Bromwich Albion,Stoke City,0,3,2,4
Liverpool,West Ham United,3,0,1,4
Blackburn Rovers,Aston Villa,2,0,1,4
Fulham,Manchester City,1,4,2,4
Sunderland,Everton,2,2,0,4
Aston Villa,Arsenal,2,4,2,4
Bolton Wanderers,Blackpool,2,2,0,4
Everton,West Bromwich Albion,1,4,2,4
Fulham,Birmingham City,1,1,0,4
Manchester United,Blackburn Rovers,7,1,1,4
Stoke City,Manchester City,1,1,0,4
West Ham United,Wigan Athletic,3,1,1,4
Wolverhampton Wanderers,Sunderland,3,2,1,4
Newcastle United,Chelsea,1,1,0,4
Tottenham Hotspur,Liverpool,2,1,1,4
Arsenal,Fulham,2,1,1,4
Birmingham City,Tottenham Hotspur,1,1,0,4
Blackburn Rovers,Wolverhampton Wanderers,3,0,1,4
Chelsea,Everton,1,1,0,4
Manchester City,Bolton Wanderers,1,0,1,4
Wigan Athletic,Stoke City,2,2,0,4
West Bromwich Albion,Newcastle United,3,1,1,4
Sunderland,West Ham United,1,0,1,4
Liverpool,Aston Villa,3,0,1,4
Aston Villa,West Bromwich Albion,2,1,1,4
Everton,Wigan Athletic,0,0,0,4
Fulham,Sunderland,0,0,0,4
Stoke City,Blackpool,0,1,2,4
West Ham United,Manchester City,1,3,2,4
Newcastle United,Liverpool,3,1,1,4
Bolton Wanderers,Blackburn Rovers,2,1,1,4
Wolverhampton Wanderers,Birmingham City,1,0,1,4
Tottenham Hotspur,Chelsea,1,1,0,4
Manchester United,Arsenal,1,0,1,4
Sunderland,Bolton Wanderers,1,0,1,4
Blackburn Rovers,West Ham United,1,1,0,4
Manchester City,Everton,1,2,2,4
Fulham,West Ham United,1,3,2,4
Blackburn Rovers,Stoke City,0,2,2,4
Bolton Wanderers,West Bromwich Albion,2,0,1,4
Manchester United,Sunderland,2,0,1,4
Newcastle United,Manchester City,1,3,2,4
Wolverhampton Wanderers,Wigan Athletic,1,2,2,4
Aston Villa,Tottenham Hotspur,1,2,2,4
Arsenal,Chelsea,3,1,1,4
Manchester City,Aston Villa,4,0,1,4
Stoke City,Fulham,0,2,2,4
Sunderland,Blackpool,0,2,2,4
Tottenham Hotspur,Newcastle United,2,0,1,4
West Bromwich Albion,Blackburn Rovers,1,3,2,4
West Ham United,Everton,1,1,0,4
Birmingham City,Manchester United,1,1,0,4
Chelsea,Bolton Wanderers,1,0,1,4
Wigan Athletic,Arsenal,2,2,0,4
Liverpool,Wolverhampton Wanderers,0,1,2,4
West Bromwich Albion,Manchester United,1,2,2,4
Liverpool,Bolton Wanderers,2,1,1,4
Manchester City,Blackpool,1,0,1,4
Stoke City,Everton,2,0,1,4
Sunderland,Blackburn Rovers,3,0,1,4
Tottenham Hotspur,Fulham,1,0,1,4
West Ham United,Wolverhampton Wanderers,2,0,1,4
Birmingham City,Arsenal,0,3,2,4
Chelsea,Aston Villa,3,3,0,4
Wigan Athletic,Newcastle United,0,1,2,4
Blackpool,Birmingham City,1,2,2,4
Fulham,West Bromwich Albion,3,0,1,4
Manchester United,Stoke City,2,1,1,4
Arsenal,Manchester City,0,0,0,4
Aston Villa,Sunderland,0,1,2,4
Newcastle United,West Ham United,5,0,1,4
Wolverhampton Wanderers,Chelsea,1,0,1,4
Blackburn Rovers,Liverpool,3,1,1,4
Bolton Wanderers,Wigan Athletic,1,1,0,4
Everton,Tottenham Hotspur,2,1,1,4
Blackpool,Liverpool,2,1,1,4
Chelsea,Blackburn Rovers,2,0,1,4
Manchester City,Wolverhampton Wanderers,4,3,1,4
Stoke City,Bolton Wanderers,2,0,1,4
West Bromwich Albion,Blackpool,3,2,1,4
Wigan Athletic,Fulham,1,1,0,4
West Ham United,Arsenal,0,3,2,4
Birmingham City,Aston Villa,1,1,0,4
Sunderland,Newcastle United,1,1,0,4
Liverpool,Everton,2,2,0,4
Tottenham Hotspur,Manchester United,0,0,0,4
Wolverhampton Wanderers,Liverpool,0,3,2,4
Arsenal,Wigan Athletic,3,0,1,4
Blackpool,Sunderland,1,2,2,4
Everton,West Ham United,2,2,0,4
Fulham,Stoke City,2,0,1,4
Manchester United,Birmingham City,5,0,1,4
Newcastle United,Tottenham Hotspur,1,1,0,4
Aston Villa,Manchester City,1,0,1,4
Blackburn Rovers,West Bromwich Albion,2,0,1,4
Bolton Wanderers,Chelsea,0,4,2,4
Blackpool,Manchester United,2,3,2,4
Wigan Athletic,Aston Villa,1,2,2,4
Liverpool,Fulham,1,0,1,4
Arsenal,Everton,2,1,1,4
Sunderland,Chelsea,2,4,2,4
Manchester United,Aston Villa,3,1,1,4
West Bromwich Albion,Wigan Athletic,2,2,0,4
Birmingham City,Manchester City,2,2,0,4
Blackburn Rovers,Tottenham Hotspur,0,1,2,4
Blackpool,West Ham United,1,3,2,4
Bolton Wanderers,Wolverhampton Wanderers,1,0,1,4
Fulham,Newcastle United,1,0,1,4
Liverpool,Stoke City,2,0,1,4
Stoke City,Sunderland,3,2,1,4
Aston Villa,Fulham,2,2,0,4
Everton,Blackpool,5,3,1,4
Manchester City,West Bromwich Albion,3,0,1,4
Newcastle United,Arsenal,4,4,0,4
Tottenham Hotspur,Bolton Wanderers,2,1,1,4
Wigan Athletic,Blackburn Rovers,4,3,1,4
Wolverhampton Wanderers,Manchester United,2,1,1,4
West Ham United,Birmingham City,0,1,2,4
Chelsea,Liverpool,0,1,2,4
Manchester United,Manchester City,2,1,1,4
Arsenal,Wolverhampton Wanderers,2,0,1,4
Birmingham City,Stoke City,1,0,1,4
Blackburn Rovers,Newcastle United,0,0,0,4
Blackpool,Aston Villa,1,1,0,4
Liverpool,Wigan Athletic,1,1,0,4
West Bromwich Albion,West Ham United,3,3,0,4
Sunderland,Tottenham Hotspur,1,2,2,4
Bolton Wanderers,Everton,2,0,1,4
Fulham,Chelsea,0,0,0,4
Birmingham City,Newcastle United,0,2,2,4
West Bromwich Albion,Wolverhampton Wanderers,1,1,0,4
Blackpool,Tottenham Hotspur,3,1,1,4
Arsenal,Stoke City,1,0,1,4
Aston Villa,Blackburn Rovers,4,1,1,4
Everton,Sunderland,2,0,1,4
Newcastle United,Bolton Wanderers,1,1,0,4
Wigan Athletic,Manchester United,0,4,2,4
Wolverhampton Wanderers,Blackpool,4,0,1,4
West Ham United,Liverpool,3,1,1,4
Manchester City,Fulham,1,1,0,4
Stoke City,West Bromwich Albion,1,1,0,4
Chelsea,Manchester United,2,1,1,4
Birmingham City,West Bromwich Albion,1,3,2,4
Arsenal,Sunderland,0,0,0,4
Bolton Wanderers,Aston Villa,3,2,1,4
Fulham,Blackburn Rovers,3,2,1,4
Newcastle United,Everton,1,2,2,4
West Ham United,Stoke City,3,0,1,4
Manchester City,Wigan Athletic,1,0,1,4
Liverpool,Manchester United,3,1,1,4
Wolverhampton Wanderers,Tottenham Hotspur,3,3,0,4
Blackpool,Chelsea,1,3,2,4
Everton,Birmingham City,1,1,0,4
Tottenham Hotspur,West Ham United,0,0,0,4
Aston Villa,Wolverhampton Wanderers,0,1,2,4
Blackburn Rovers,Blackpool,2,2,0,4
Manchester United,Bolton Wanderers,1,0,1,4
Stoke City,Newcastle United,4,0,1,4
West Bromwich Albion,Arsenal,2,2,0,4
Wigan Athletic,Birmingham City,2,1,1,4
Everton,Fulham,2,1,1,4
Sunderland,Liverpool,0,2,2,4
Chelsea,Manchester City,2,0,1,4
West Ham United,Manchester United,2,4,2,4
Birmingham City,Bolton Wanderers,2,1,1,4
Everton,Aston Villa,2,2,0,4
Newcastle United,Wolverhampton Wanderers,4,1,1,4
Stoke City,Chelsea,1,1,0,4
West Bromwich Albion,Liverpool,2,1,1,4
Wigan Athletic,Tottenham Hotspur,0,0,0,4
Arsenal,Blackburn Rovers,0,0,0,4
Fulham,Blackpool,3,0,1,4
Manchester City,Sunderland,5,0,1,4
Wolverhampton Wanderers,Everton,0,3,2,4
Blackburn Rovers,Birmingham City,1,1,0,4
Bolton Wanderers,West Ham United,3,0,1,4
Chelsea,Wigan Athletic,1,0,1,4
Manchester United,Fulham,2,0,1,4
Sunderland,West Bromwich Albion,2,3,2,4
Tottenham Hotspur,Stoke City,3,2,1,4
Blackpool,Arsenal,1,3,2,4
Aston Villa,Newcastle United,1,0,1,4
Liverpool,Manchester City,3,0,1,4
Birmingham City,Sunderland,2,0,1,4
Blackpool,Wigan Athletic,1,3,2,4
Everton,Blackburn Rovers,2,0,1,4
West Bromwich Albion,Chelsea,1,3,2,4
West Ham United,Aston Villa,1,2,2,4
Arsenal,Liverpool,1,1,0,4
Newcastle United,Manchester United,0,0,0,4
Chelsea,Birmingham City,3,1,1,4
Tottenham Hotspur,Arsenal,3,3,0,4
Manchester United,Everton,1,0,1,4
Aston Villa,Stoke City,1,1,0,4
Blackpool,Newcastle United,1,1,0,4
Liverpool,Birmingham City,5,0,1,4
Sunderland,Wigan Athletic,4,2,1,4
Tottenham Hotspur,West Bromwich Albion,2,2,0,4
Wolverhampton Wanderers,Fulham,1,1,0,4
Chelsea,West Ham United,3,0,1,4
Bolton Wanderers,Arsenal,2,1,1,4
Blackburn Rovers,Manchester City,0,1,2,4
Stoke City,Wolverhampton Wanderers,3,0,1,4
Fulham,Bolton Wanderers,3,0,1,4
Blackburn Rovers,Bolton Wanderers,1,0,1,4
Blackpool,Stoke City,0,0,0,4
Sunderland,Fulham,0,3,2,4
West Bromwich Albion,Aston Villa,2,1,1,4
Wigan Athletic,Everton,1,1,0,4
Chelsea,Tottenham Hotspur,2,1,1,4
Birmingham City,Wolverhampton Wanderers,1,1,0,4
Liverpool,Newcastle United,3,0,1,4
Arsenal,Manchester United,1,0,1,4
Manchester City,West Ham United,2,1,1,4
Aston Villa,Wigan Athletic,1,1,0,4
Bolton Wanderers,Sunderland,1,2,2,4
Everton,Manchester City,2,1,1,4
Newcastle United,Birmingham City,2,1,1,4
West Ham United,Blackburn Rovers,1,1,0,4
Tottenham Hotspur,Blackpool,1,1,0,4
Wolverhampton Wanderers,West Bromwich Albion,3,1,1,4
Stoke City,Arsenal,3,1,1,4
Manchester United,Chelsea,2,1,1,4
Fulham,Liverpool,2,5,2,4
Manchester City,Tottenham Hotspur,1,0,1,4
Blackburn Rovers,Manchester United,1,1,0,4
Blackpool,Bolton Wanderers,4,3,1,4
Sunderland,Wolverhampton Wanderers,1,3,2,4
West Bromwich Albion,Everton,1,0,1,4
Chelsea,Newcastle United,2,2,0,4
Arsenal,Aston Villa,1,2,2,4
Birmingham City,Fulham,0,2,2,4
Liverpool,Tottenham Hotspur,0,2,2,4
Wigan Athletic,West Ham United,3,2,1,4
Manchester City,Stoke City,3,0,1,4
Aston Villa,Liverpool,1,0,1,4
Bolton Wanderers,Manchester City,0,2,2,4
Everton,Chelsea,1,0,1,4
Fulham,Arsenal,2,2,0,4
Manchester United,Blackpool,4,2,1,4
Newcastle United,West Bromwich Albion,3,3,0,4
Stoke City,Wigan Athletic,0,1,2,4
Tottenham Hotspur,Birmingham City,2,1,1,4
